x_t,y_t,x_t-1,y_t-1,a_x,a_y
7.142285410521956313e-02,-1.304388197439177777e+00,9.761283652245225650e-02,-1.300764094451000386e+00,-1.092784856459531051e+00,-1.931660129442415719e-01,0.000000000000000000e+00
2.645250532922108211e-02,-1.308406329327996387e+00,5.303519383342185367e-02,-1.305971586364025327e+00,-1.077210739428242636e+00,-1.596622019267343595e-01,0.000000000000000000e+00
-1.810977650402302921e-02,-1.311269555739854376e+00,8.848543703157005225e-03,-1.309999504065878728e+00,-1.061239773677991494e+00,-1.267791753873645511e-01,0.000000000000000000e+00
-6.225421733678516284e-02,-1.312999709526263548e+00,-3.493715087039137718e-02,-1.312869703618270156e+00,-1.044886269856523109e+00,-9.451778434112875771e-02,0.000000000000000000e+00
-1.059714054048215282e-01,-1.313618644065705388e+00,-7.831228616208177340e-02,-1.314604071044734868e+00,-1.028164407443270090e+00,-6.287861324181699685e-02,0.000000000000000000e+00
-1.492522878071494141e-01,-1.313148224079618176e+00,-1.212676144265649042e-01,-1.315224512945769364e+00,-1.011088231665255854e+00,-3.186198505158265026e-02,0.000000000000000000e+00
-1.920881669999856267e-01,-1.311610316626598216e+00,-1.637942405278395019e-01,-1.314752947292451957e+00,-9.936716505289062695e-01,-1.467966315115838390e-03,0.000000000000000000e+00
-2.344706972177548476e-01,-1.309026782274875789e+00,-2.058836184942909042e-01,-1.313211294398710871e+00,-9.759284319657097750e-01,2.830362776443126616e-02,0.000000000000000000e+00
-2.763918808240582448e-01,-1.305419466453066724e+00,-2.475275480020705798e-01,-1.310621468072300955e+00,-9.578722010909870299e-01,5.745322824946182128e-02,0.000000000000000000e+00
-3.178440645954641597e-01,-1.300810190979116321e+00,-2.887181707896563920e-01,-1.307005366944492319e+00,-9.395164375746807295e-01,8.598150739439078261e-02,0.000000000000000000e+00
-3.588199359409438016e-01,-1.295220745767312387e+00,-3.294479670064056065e-01,-1.302384865978382544e+00,-9.208744731226199409e-01,1.138893735755711206e-01,0.000000000000000000e+00
-3.993125190597577312e-01,-1.288672880713124025e+00,-3.697097514978747168e-01,-1.296781808155712534e+00,-9.019594890676049248e-01,1.411779662281250347e-01,0.000000000000000000e+00
-4.393151710405585053e-01,-1.281188297755615935e+00,-4.094966700306623686e-01,-1.290217996341942674e+00,-8.827845140687144987e-01,1.678486507899780433e-01,0.000000000000000000e+00
-4.788215779044378562e-01,-1.272788643117068075e+00,-4.488021954594930141e-01,-1.282715185329335261e+00,-8.633624219173942071e-01,1.939030136563135165e-01,0.000000000000000000e+00
